menu_start_game_0|Welcome, adventurer, to Mount and Blade: Warband. Before beginning the game you must create your character. Remember that in the traditional medieval society depicted in the game, war and politics are usually dominated by male members of the nobility. That does not however mean that you should not choose to play a female character, or one who is not of noble birth. Male nobles may have a somewhat easier start, but women and commoners can attain all of the same goals -- and in fact may have a much more interesting if more challenging early game.
mno_continue|Continue...
mno_go_back|Go back
menu_start_phase_2|You hear about Calradia, a land torn between rival kingdoms battling each other for supremacy, a haven for knights and mercenaries,  cutthroats and adventurers, all willing to risk their lives in pursuit of fortune, power, or glory... In this land which holds great dangers and even greater opportunities, you believe you may leave your past behind and start a new life. You feel that finally, you hold the key of your destiny in your hands, free to choose as you will, and that whatever course you take, great adventures will await you. Drawn by the stories you hear about Calradia and its kingdoms, you...
mno_town_1|join a caravan to Praven, in the Kingdom of Swadia.
mno_town_2|join a caravan to Reyvadin, in the Kingdom of the Vaegirs.
mno_town_3|join a caravan to Tulga, in the Khergit Khanate.
mno_town_4|take a ship to Sargoth, in the Kingdom of the Nords.
mno_town_5|take a ship to Jelkala, in the Kingdom of the Rhodoks.
mno_town_6|join a caravan to Shariz, in the Sarranid Sultanate.
menu_start_game_3|Choose your scenario:
menu_tutorial|You approach a field where the locals are training with weapons. You can practice here to improve your combat skills.
mno_go_back_dot|Go back.
menu_reports|Character Renown: {reg5}^Honor Rating: {reg6}^Party Morale: {reg8}^Party Size Limit: {reg7}^
mno_view_character_report|View character report.
mno_view_party_size_report|View party size report.
mno_view_npc_mission_report|View companion mission report.
mno_view_weekly_budget_report|View weekly budget report.
mno_view_morale_report|View party morale report.
mno_lord_relations|View list of known lords by relation.
mno_courtship_relations|View courtship relations.
mno_view_faction_relations_report|View faction relations report.
mno_resume_travelling|Resume travelling.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops over the battle. You personally slew {reg7} men in the fighting.
menu_start_game_1|Select your character's gender.
mno_start_male|Male
mno_start_female|Female
menu_start_character_1|You were born years ago, in a land far away. Your father was...
mno_start_noble|An impoverished noble.
mno_start_merchant|A travelling merchant.
mno_start_guard|A veteran warrior.
mno_start_forester|A hunter.
mno_start_nomad|A steppe nomad.
mno_start_thief|A thief.
menu_start_character_2|{s10}^^ You started to learn about the world almost as soon as you could walk and talk. You spent your early life as...
mno_page|A page at a nobleman's court.
mno_apprentice|A craftsman's apprentice.
mno_stockboy|A shop assistant.
mno_urchin|A street urchin.
mno_nomad|A steppe child.
menu_start_character_3|{s11}^^ Then, as a young adult, life changed as it always does. You became...
mno_squire|A squire.
mno_lady|A lady-in-waiting.
mno_troubadour|A troubadour.
mno_student|A university student.
mno_peddler|A goods peddler.
mno_craftsman|A smith.
mno_poacher|A game poacher.
menu_start_character_4|{s12}^^But soon everything changed and you decided to strike out on your own as an adventurer. What made you take this decision was...
mno_revenge|Personal revenge.
mno_death|The loss of a loved one.
mno_wanderlust|Wanderlust.
mno_disown|Being forced out of your home.
mno_greed|Lust for money and power.
menu_choose_skill|{s13}
mno_begin_adventuring|Become an adventurer and ride to your destiny.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|You set up camp. What do you want to do?
mno_camp_action|Take an action.
mno_camp_wait_here|Wait here for some time.
mno_camp_cheat|CHEAT MENU!
menu_camp_cheat|Select a cheat:
mno_camp_cheat_find_item|Find an item...
menu_camp_action|Choose an action:
mno_camp_recruit_prisoners|Recruit some of your prisoners to your party.
mno_action_read_book|Select a book to read.
mno_action_rename_kingdom|Rename your kingdom.
mno_action_retire|Retire from adventuring.
mno_camp_action_4|Back to camp menu.
menu_camp_recruit_prisoners|You offer your prisoners freedom if they agree to join you as soldiers. {s18}
mno_camp_recruit_prisoners_accept|Take them.
mno_camp_recruit_prisoners_reject|Reject them.
menu_camp_no_prisoners|You have no prisoners to recruit from.
menu_camp_action_read_book|Choose a book to read:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|You are at day {reg0}. Your current luck is {reg1}. Are you sure you want to retire?
mno_retire_yes|Yes.
mno_retire_no|No.
menu_end_game|The decision is made, and you resolve to give up your adventurer's life and settle down. You sell off your weapons and armour, gather up all your money, and ride off into the sunset....
mno_end_game_bye|Farewell.
menu_cattle_herd|You encounter a herd of cattle.
mno_cattle_drive_away|Drive the cattle onward.
mno_cattle_stop|Bring the herd to a stop.
mno_cattle_kill|Slaughter some of the animals.
mno_leave|Leave.
menu_cattle_herd_kill|How many animals do you want to slaughter?
mno_cattle_kill_1|One.
mno_cattle_kill_2|Two.
mno_cattle_kill_3|Three.
mno_cattle_kill_4|Four.
mno_cattle_kill_5|Five.
menu_arena_duel_fight|You and your opponent prepare to duel.
