
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я желаю отсрочить назначение лорда.
dlga_award_fief_to_vassal_defer:close_window|Как пожелаете, {Сир/Миледи}. Вы можете решить этот вопрос позже.
dlga_award_fief_to_vassal_2:close_window|Как пожелаете, {господин/госпожа}. {reg6?Я:{reg7?Вы:{s11}}} станет {reg3?новой хозяйкой:новым хозяином} {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} прозябает без хозяина. Кого мне поставить за главного?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Прошу вас, {s65}, мне бы хотелось оставить {s1} себе. (наделов: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, {s1} отныне принадлежит вам. (Владения: {s0})
dlga_center_captured_rebellion_2:close_window|Хммм. Ладно, {playername}. Я высоко ценю ваши советы. Новый владелец {s1} теперь {reg6?я:{reg7?вы:{s11}}}.
dlga_start:fighter_talk|День добрый! Мы оттачиваем здесь свое боевое мастерство и устраиваем тренировочные бои. Похоже, тебе тоже не помешало бы позаниматься. Присоединяйся к нам, и мы покажем тебе пару трюков. А если потребуются объяснения по технике боя - спрашивай, постараюсь рассказать все, что знаю.
dlga_start:fighter_talk.1|В чем желаешь попрактиковаться?
dlga_fighter_pretalk:fighter_talk|Скажи-ка, в чем ты желаешь поупражняться?
dlga_fighter_talk:fighter_talk_train_attack|Я хочу отработать атаку.
dlga_fighter_talk:fighter_talk_train_parry|Я хочу отработать блоки оружием.
dlga_fighter_talk:fighter_talk_train_combat|Давайте немного потренируемся в бою.
dlga_fighter_talk:close_window|[Уйти]
