
fac_no_faction|Нет Фракции
fac_commoners|Простолюдины
fac_outlaws|Изгнанники
fac_neutral|Нейтралы
fac_innocents|Мирные
fac_merchants|Торговцы
fac_player_faction|Фракция Игрока
fac_player_supporters_faction|Сторонники Игрока
fac_kingdom_1|Королевство Свад
fac_kingdom_2|Королевство Вегир
fac_kingdom_3|Хергитское ханство
fac_kingdom_4|Королевство Норд
fac_kingdom_5|Королевство Родок
fac_kingdom_6|Сарранидский Султанат
fac_manhunters|Охотники за головами
fac_deserters|Дезертиры
fac_mountain_bandits|Горные бандиты
fac_forest_bandits|Лесные бандиты
