
menu_start_game_0|Добро пожаловать в игру "Mount and Blade. Warband". Прежде чем начать игру, вам необходимо создать своего персонажа. Помните, что в традиционном средневековом обществе - а именно оно отражено в игре - все политические и военные вопросы решали мужчины-аристократы. Это не означает, что вы не можете играть за женщину или за простолюдина. Играть за мужчину благородного происхождения будет несколько проще. Впрочем, все герои смогут достичь в игре любых вершин, хотя некоторым придется тяжелее, то есть игра для них будет сложнее и увлекательнее. 
mno_continue|Продолжить...
mno_go_back|Назад
menu_start_phase_2|Вы прибываете в Кальрадию - мир, раздираемый войнами между молодыми государствами, которые непрестанно сражаются за власть и за земли. Это настоящий рай для рыцарей и наемников, головорезов и искателей приключений - короче, для всех, кто готов рисковать своей жизнью в погоне за богатством, могуществом или славой... Опасности поджидают вас на каждом шагу, но где искать удачу, если не здесь! Сейчас вы стоите на высоком холме, осматривая земли внизу, и вы чувствуете, что ключ к вашей судьбе в ваших руках. Все дороги Кальрадии открыты для вас, и что бы вы ни выбрали, вас ожидают удивительные приключения.
mno_town_1|Присоединиться к каравану, идущему в Правен, в королевство Свадию.
mno_town_2|Присоединиться к каравану, идущему в Рейвадин, в королевство Вегир.
mno_town_3|Присоединиться к каравану, идущему в Тульга, в Хергитское ханство.
mno_town_4|Сесть на корабль в Саргот, в королевство Нордов.
mno_town_5|Сесть на корабль в Джелкалу, в королевство Родоков.
mno_town_6|Присоединиться к каравану, идущему в Шариз, в Сарранидский султанат.
menu_start_game_3|Выберите сценарий:
mno_go_back|Назад.
menu_tutorial|Вы приближаетесь к площадке, на которой местные воины упражняются с оружием. Здесь вы можете потренироваться, чтобы улучшить свои боевые навыки.
mno_continue|Продолжить...
mno_go_back_dot|Назад
menu_reports|Известность персонажа: {reg5}^Рейтинг чести: {reg6}^Боевой дух отряда: {reg8}^Максимальная численность отряда: {reg7}^
mno_view_character_report|Просмотреть данные о персонаже
mno_view_party_size_report|Просмотреть данные о численности отряда.
mno_view_npc_mission_report|Просмотреть задание спутника.
mno_view_weekly_budget_report|Просмотреть недельную смету.
mno_view_morale_report|Просмотреть данные о боевом духе отряда.
mno_lord_relations|Список лордов по взаимоотношениям.
mno_courtship_relations|Просмотреть успехи в ухаживаниях.
