
itm_no_item|Нет предмета
itm_no_item_pl|Нет предметов
itm_tutorial_spear|Копье
itm_tutorial_spear_pl|Копья
itm_tutorial_club|Дубинка
itm_tutorial_club_pl|Дубинки
itm_tutorial_battle_axe|Секира
itm_tutorial_battle_axe_pl|Секиры
itm_tutorial_arrows|Стрелы
itm_tutorial_arrows_pl|Стрелы
itm_tutorial_bolts|Арбалетные болты
itm_tutorial_bolts_pl|Арбалетные болты
itm_tutorial_short_bow|Короткий лук
itm_tutorial_short_bow_pl|Короткие луки
itm_tutorial_crossbow|Арбалет
itm_tutorial_crossbow_pl|Арбалеты
itm_tutorial_throwing_daggers|Метательные кинжалы
itm_tutorial_throwing_daggers_pl|Метательные кинжалы
itm_tutorial_saddle_horse|Верховой конь
itm_tutorial_saddle_horse_pl|Верховые кони
itm_tutorial_shield|Каплевидный щит
itm_tutorial_shield_pl|Каплевидные щиты
itm_tutorial_staff_no_attack|Посох
itm_tutorial_staff_no_attack_pl|Посохи
itm_tutorial_staff|Посох
itm_tutorial_staff_pl|Посохи
itm_tutorial_sword|Меч
itm_tutorial_sword_pl|Мечи
itm_tutorial_axe|Топор
itm_tutorial_axe_pl|Топоры
itm_tutorial_dagger|Кинжал
itm_tutorial_dagger_pl|Кинжал
itm_horse_meat|Конина
itm_horse_meat_pl|Конина
itm_practice_sword|Учебный меч
itm_practice_sword_pl|Учебные мечи
itm_heavy_practice_sword|Тяжелый учебный меч
itm_heavy_practice_sword_pl|Тяжелые учебные мечи
itm_practice_dagger|Учебный кинжал
itm_practice_dagger_pl|Учебные кинжалы
itm_practice_axe|Учебный топор
itm_practice_axe_pl|Учебный топор
itm_arena_axe|Топор
itm_arena_axe_pl|Топор
itm_arena_sword|Меч
itm_arena_sword_pl|Меч
itm_arena_sword_two_handed|Двуручный меч
itm_arena_sword_two_handed_pl|Двуручный меч
itm_arena_lance|Копье
itm_arena_lance_pl|Копье
itm_practice_staff|Учебный посох
itm_practice_staff_pl|Учебные посохи
itm_practice_lance|Учебная кавалерийская пика
itm_practice_lance_pl|Учебные кавалерийские пики
itm_practice_shield|Учебный щит
itm_practice_shield_pl|Учебные щиты
itm_practice_bow|Учебный лук
itm_practice_bow_pl|Учебные луки
itm_practice_crossbow|Учебный арбалет
itm_practice_crossbow_pl|Учебный арбалет
itm_practice_javelin|Учебный дротик
itm_practice_javelin_pl|Учебные дротики
itm_practice_javelin_melee|Учебный дротик ближнего боя
itm_practice_javelin_melee_pl|Учебные дротики ближнего боя
itm_practice_throwing_daggers|Метательные кинжалы
itm_practice_throwing_daggers_pl|Метательные кинжалы
itm_practice_throwing_daggers_100_amount|Метательные кинжалы
itm_practice_throwing_daggers_100_amount_pl|Метательные кинжалы
itm_practice_horse|Конь для тренировок
itm_practice_horse_pl|Кони для тренировок
itm_practice_arrows|Учебные стрелы
itm_practice_arrows_pl|Учебные стрелы
itm_practice_bolts|Учебные болты
itm_practice_bolts_pl|Учебные болты
itm_practice_arrows_10_amount|Учебные стрелы
itm_practice_arrows_10_amount_pl|Учебные стрелы
itm_practice_arrows_100_amount|Учебные стрелы
itm_practice_arrows_100_amount_pl|Учебные стрелы
itm_practice_bolts_9_amount|Учебные болты
itm_practice_bolts_9_amount_pl|Учебные болты
itm_practice_boots|Учебные сапоги
itm_practice_boots_pl|Учебные сапоги
itm_red_tourney_armor|Красный турнирный доспех
itm_red_tourney_armor_pl|Красные турнирные доспехи
itm_blue_tourney_armor|Синий турнирный доспех
itm_blue_tourney_armor_pl|Синие турнирные доспехи
itm_green_tourney_armor|Зеленый турнирный доспех
itm_green_tourney_armor_pl|Зеленые турнирные доспехи
itm_gold_tourney_armor|Золотой турнирный доспех
itm_gold_tourney_armor_pl|Золотые турнирные доспехи
itm_red_tourney_helmet|Красный турнирный шлем
itm_red_tourney_helmet_pl|Красные турнирные шлемы
itm_blue_tourney_helmet|Синий турнирный шлем
itm_blue_tourney_helmet_pl|Синие турнирные шлемы
itm_green_tourney_helmet|Зеленый турнирный шлем
itm_green_tourney_helmet_pl|Зеленые турнирные шлемы
itm_gold_tourney_helmet|Золотой турнирный шлем
itm_gold_tourney_helmet_pl|Золотые турнирные шлемы
itm_arena_shield_red|Щит
itm_arena_shield_red_pl|Щит
itm_arena_shield_blue|Щит
itm_arena_shield_blue_pl|Щит
itm_arena_shield_green|Щит
itm_arena_shield_green_pl|Щит
itm_arena_shield_yellow|Щит
itm_arena_shield_yellow_pl|Щит
itm_arena_armor_white|Белый доспех для арены
itm_arena_armor_white_pl|Белые доспехи для арены
itm_arena_armor_red|Красный доспех для арены
itm_arena_armor_red_pl|Красные доспехи для арены
itm_arena_armor_blue|Синий доспех для арены
itm_arena_armor_blue_pl|Синие доспехи для арены
itm_arena_armor_green|Зеленый доспех для арены
itm_arena_armor_green_pl|Зеленые доспехи для арены
itm_arena_armor_yellow|Желтый доспех для арены
itm_arena_armor_yellow_pl|Желтые доспехи для арены
itm_arena_tunic_white|Белая туника для арены
itm_arena_tunic_white_pl|Белые туники для арены
itm_arena_tunic_red|Красная туника для арены
itm_arena_tunic_red_pl|Красные туники для арены
itm_arena_tunic_blue|Синяя туника для арены
itm_arena_tunic_blue_pl|Синие туники для арены
itm_arena_tunic_green|Зеленая туника для арены
itm_arena_tunic_green_pl|Зеленые туники для арены
itm_arena_tunic_yellow|Желтая туника для арены
itm_arena_tunic_yellow_pl|Желтые туники для арены
itm_arena_helmet_red|Красный шлем для арены
itm_arena_helmet_red_pl|Красные шлемы для арены
itm_arena_helmet_blue|Синий шлем для арены
itm_arena_helmet_blue_pl|Синие шлемы для арены
itm_arena_helmet_green|Зеленый шлем для арены
itm_arena_helmet_green_pl|Зеленые шлемы для арены
itm_arena_helmet_yellow|Желтый шлем для арены
itm_arena_helmet_yellow_pl|Желтые шлемы для арены
itm_steppe_helmet_white|Белый шлем степняка
itm_steppe_helmet_white_pl|Белые шлемы степняков
itm_steppe_helmet_red|Красный шлем степняка
itm_steppe_helmet_red_pl|Красные шлемы степняков
itm_steppe_helmet_blue|Синий шлем степняка
itm_steppe_helmet_blue_pl|Синие шлемы степняков
itm_steppe_helmet_green|Зеленый шлем степняка
itm_steppe_helmet_green_pl|Зеленые шлемы степняков
itm_steppe_helmet_yellow|Желтый шлем степняка
itm_steppe_helmet_yellow_pl|Желтые шлемы степняков
itm_tourney_helm_white|Белый турнирный шлем
itm_tourney_helm_white_pl|Белые турнирные шлемы
itm_tourney_helm_red|Красный турнирный шлем
itm_tourney_helm_red_pl|Красные турнирные шлемы
itm_tourney_helm_blue|Синий турнирный шлем
itm_tourney_helm_blue_pl|Синие турнирные шлемы
itm_tourney_helm_green|Зеленый турнирный шлем
itm_tourney_helm_green_pl|Зеленые турнирные шлемы
itm_tourney_helm_yellow|Желтый турнирный шлем
itm_tourney_helm_yellow_pl|Желтые турнирные шлемы
itm_arena_turban_red|Тюрбан для арены
itm_arena_turban_red_pl|Тюрбаны для арены
itm_arena_turban_blue|Тюрбан для арены
itm_arena_turban_blue_pl|Тюрбаны для арены
itm_arena_turban_green|Тюрбан для арены
itm_arena_turban_green_pl|Тюрбаны для арены
itm_arena_turban_yellow|Тюрбан для арены
itm_arena_turban_yellow_pl|Тюрбаны для арены
itm_book_tactics|О делах военных
itm_book_tactics_pl|О делах военных
itm_book_persuasion|Риторика к Гереннию
itm_book_persuasion_pl|Риторика к Гереннию
itm_book_leadership|Жизнеописание Аликсена Великого
itm_book_leadership_pl|Жизнеописание Аликсена Великого
itm_book_intelligence|Сочинения по логике
itm_book_intelligence_pl|Сочинения по логике
itm_book_trade|Трактат о ценности вещей
itm_book_trade_pl|Трактаты о ценности вещей
itm_book_weapon_mastery|Об искусстве фехтования
itm_book_weapon_mastery_pl|Об искусстве фехтования
itm_book_engineering|О науке механике
itm_book_engineering_pl|О науке механике
itm_book_wound_treatment_reference|Книга исцеления
itm_book_wound_treatment_reference_pl|Книга исцеления
itm_book_training_reference|О работе с оружием
itm_book_training_reference_pl|О работе с оружием
itm_book_surgery_reference|Большая книга хирургии
itm_book_surgery_reference_pl|Большая книга хирургии
itm_spice|Специи
itm_spice_pl|Специи
itm_salt|Соль
itm_salt_pl|Соль
itm_oil|Оливковое масло
itm_oil_pl|Оливковое масло
itm_pottery|Глиняная утварь
itm_pottery_pl|Глиняная утварь
itm_raw_flax|Сноп льна
itm_raw_flax_pl|Снопы льна
itm_linen|Полотно
itm_linen_pl|Полотна
itm_wool|Шерсть
itm_wool_pl|Шерсть
itm_wool_cloth|Шерстяная ткань
itm_wool_cloth_pl|Шерстяная ткань
itm_raw_silk|Шелк-сырец
itm_raw_silk_pl|Шелк-сырец
itm_raw_dyes|Краска
itm_raw_dyes_pl|Краска
itm_velvet|Бархат
itm_velvet_pl|Бархат
itm_iron|Железо
itm_iron_pl|Железо
itm_tools|Инструменты
itm_tools_pl|Инструменты
itm_raw_leather|Шкуры
itm_raw_leather_pl|Шкуры
itm_leatherwork|Изделия из кожи
itm_leatherwork_pl|Изделия из кожи
itm_raw_date_fruit|Финики
itm_raw_date_fruit_pl|Финики
itm_furs|Меха
itm_furs_pl|Меха
itm_wine|Вино
itm_wine_pl|Вино
itm_ale|Эль
itm_ale_pl|Эль
itm_smoked_fish|Копченая рыба
