
imod_plain|Гладк. %s
imod_cracked|Треснут. %s
imod_rusty|Ржав. %s
imod_bent|Погнут. %s
imod_chipped|Зазубрен. %s
imod_battered|Изнош. %s
imod_poor|Плох. %s
imod_crude|Груб. %s
imod_old|Стар. %s
imod_cheap|Дешев. %s
imod_fine|Отличн. %s
imod_well_made|Добротн. %s
imod_sharp|Остр. %s
imod_balanced|Сбалансир. %s
imod_tempered|Кален. %s
imod_deadly|Смерт. %s
imod_exquisite|Изыск. %s
imod_masterwork|Мастерск. %s
imod_heavy|Тяжел. %s
imod_strong|Сильн. %s
imod_powerful|Мощн. %s
imod_tattered|Помят. %s
imod_ragged|Потерт. %s
imod_rough|Груб. %s
imod_sturdy|Крепк. %s
imod_thick|Толст. %s
imod_hardened|Плотн. %s
imod_reinforced|Усилен. %s
imod_superb|Прекрасн. %s
imod_lordly|Благородн. %s
imod_lame|Хромой %s
imod_swaybacked|Чахлый %s
imod_stubborn|Норовистый %s
imod_timid|Робкий %s
imod_meek|Кроткий %s
imod_spirited|Резвый %s
imod_champion|Породистый %s
imod_fresh|Свежая %s
imod_day_old|Несвежая %s
imod_two_day_old|Старая %s
imod_smelling|Тухлая %s
imod_rotten|Гнилая %s
imod_large_bag|Комплект %s
ui_can_crush_through_blocks|Бонус против блоков противника
