
pt_none|нет
pt_rescued_prisoners|Спасенные пленники
pt_enemy|Враг
pt_hero_party|Геройский отряд
pt_village_defenders|Защитники деревни
pt_cattle_herd|Стадо
pt_looters|Воры
pt_manhunters|Охотники за головами
pt_steppe_bandits|Степные налетчики
pt_taiga_bandits|Тундровые бандиты
pt_desert_bandits|Пустынные бандиты
pt_forest_bandits|Лесные разбойники
pt_mountain_bandits|Бандиты-горцы
pt_sea_raiders|Морские налетчики
pt_deserters|Дезертиры
pt_merchant_caravan|Торговый караван
pt_troublesome_bandits|Назойливые бандиты
pt_bandits_awaiting_ransom|Бандиты, ожидающие выкупа
pt_kidnapped_girl|Похищенная девушка
pt_village_farmers|Сельские фермеры
pt_spy_partners|Непримечательные путешественники
pt_runaway_serfs|Сбежавшие рабы
pt_spy|Обычный горожанин
pt_sacrificed_messenger|Принесенный в жертву посланник
pt_forager_party|Банда грабителей
pt_scout_party|Разведчики
pt_patrol_party|Патруль
pt_messenger_party|Посланник
pt_raider_party|Налетчики
pt_raider_captives|Пленные налетчики
pt_kingdom_caravan_party|Караван
pt_prisoner_train_party|Обоз с заключенными
pt_default_prisoners|Обычные пленники
pt_routed_warriors|Бегущиие враги
pt_center_reinforcements|Подкрепления
pt_kingdom_hero_party|Военный отряд
pt_steppe_bandit_lair|Логово степных бандитов
pt_taiga_bandit_lair|Логово тундровых бандитов
pt_desert_bandit_lair|Логово пустынных бандитов
pt_forest_bandit_lair|Логово лесных бандитов
pt_mountain_bandit_lair|Убежище бандитов-горцев
pt_sea_raider_lair|Убежище морских налетчиков
pt_looter_lair|Убежище похитителей
pt_leaded_looters|Шайка разбойников
