
qstr_Next_Page|Следующая страница
qstr_Game_Rules:^|Правила игры:^
qstr_0|0
qstr_Show_game_rules|Правила игры
qstr_Continue...|Продолжить...
qstr_Candidate_#1:_{s1}|Кандидат #1: {s1}
qstr_Candidate_#2:_{s1}|Кандидат #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} из {s4} хочет назначить нового маршала и приглашает своих вассалов на совет. Главные кандидаты - {s1} и {s2}.
qstr_Who_do_you_wish_to_s|Кого вы желаете поддержать?
qstr_{s1}_gives_his_suppo|{s1} поддерживает {s2}.
qstr_Number_of_Supporters|Поддерживают: {reg0} человек
qstr_{s2}_has_heard_his_v|{s2} услышал советы своих вассалов. Новым маршалом он выбрал {s1}.
qstr_Action|Действие
qstr_Mount|Сесть верхом
qstr_Attack_Type|Тип атаки
qstr_Stand_Ground|Стоять на месте
qstr_Charge|В атаку
qstr_Follow_Me|Следовать за мной
qstr_Hold_This_Position|Держать позицию
qstr_Spread_Out|Рассыпаться
qstr_Stand_Closer|Встать ближе
qstr_Fall_Back|Отступить
qstr_Advance|Продвигаться
qstr_Dismount|Спешиться
qstr_Fire_At_Will|Открыть огонь
qstr_Hold_Your_Fire|Не стрелять
qstr_Use_Blunt_Weapons|Использовать дробящее оружие
qstr_Use_Any_Weapon|Использовать любое оружие
qstr_Ready|Готово к бою
qstr_Wounded|Ранено
qstr_Dead|Убито
qstr_Number_of_men_knocke|Количество сбитых людей: {reg1}
qstr_Number_of_men_left:_|Осталось людей: {reg1}
qstr_Opponents_Beaten:_{r|Убито врагов: {reg1}
qstr_Opponents_Remaining:|Осталось врагов: {reg1}
qstr_Remain_in_retirement|Остаться в отставке
qstr_Go_back_to_the_adven|К приключениям
qstr_You_have_retired_at_|Вы отошли от дел на уровне {reg4}, проведя в приключениях {reg5} дней.
qstr_Effect_on_Score|Влияние на счет
qstr_Settlements_owned_by|Ваших поселений: {reg0}
qstr_Friendly_Settlements|Дружественных поселений: {reg0}
qstr_Hostile_Settlements:|Враждебных поселений: {reg0}
qstr_Friendly_Lords:_{reg|Дружественных правителей: {reg0}
qstr_Enemy_Lords:_{reg0}|Враждебных правителей: {reg0}
qstr_Victories:_{reg0}|Побед: {reg0}
qstr_Defeats:_{reg0}|Поражений: {reg0}
qstr_Quests_Completed:_{r|Выполнено заданий: {reg0}
qstr_Companions_Found:_{r|Найдено спутников: {reg0}
qstr_Companions_Lost/Depa|Потеряно/погибло спутников: {reg0}
qstr_Wealth:_{reg0}_denar|Капитал: {reg0}  динаров
qstr_Inventory:_{reg0}_de|Имущество: {reg0} динаров
qstr_Renown:_{reg0}|Известность: {reg0}
qstr_Experience:_{reg0}|Опыт: {reg0}
qstr_Days_Passed:_{reg0}|Дней прошло: {reg0}
qstr_Difficulty:_{reg0}%|Сложность: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|ИТОГОВЫЙ СЧЕТ: {reg0}
qstr_None|Нет
qstr_{s1}_of_{s3}_was_def|{s1} из {s3} терпит поражение в битве, но успевает бежать.
qstr_{s54}_is_a_claimant_|{s54} претендует на трон {s56}.
qstr_nowhere|нигде
