qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_{s1}_|{s1} 
qstr_Next_Page|Next Page
qstr_Naval_Battle|Naval Battle
qstr_Coastal_Assault__Off|Coastal Assault (Offense)
qstr_Coastal_Assault__Def|Coastal Assault (Defense)
qstr_Players:|Players:
qstr_Invaders:|Invaders:
qstr_Invasion_difficulty_|Invasion difficulty (%):
qstr_Replace_all_weapons_|Replace all weapons with Deadly Bow
qstr________Game_Descript|-------Game Description-------^
qstr_Game_Rules:^|Game Rules:^
qstr_0|0
qstr_Players:_{reg1}|Players: {reg1}
qstr_Invaders|Invaders
qstr_Thor_s_champion_has_|Thor's champion has been killed!
qstr_You_have_killed_the_|You have killed the champion and gained Thor's favour!
qstr_{s1}_has_killed_the_|{s1} has killed the Champion and gained Thor's favour!
qstr_Thor_has_chosen_{s1}|Thor has chosen {s1} as his new champion!
qstr_^^Congratulations!^^|^^Congratulations!^^You have survived the invasion!
qstr_New_enemies_are_comi|New enemies are coming!^Prepare yourself!
qstr_{reg0}:{reg1}{reg2}_|{reg0}:{reg1}{reg2} until the next enemy wave.
qstr_Enemies_left:_{reg1}|Enemies left: {reg1}
qstr_Show_game_rules|Show game rules
qstr_Admin_tools_panel|Admin tools panel
qstr_All_Players|All Players
qstr_Candidate_#1:_{s1}|Candidate #1: {s1}
qstr_Candidate_#2:_{s1}|Candidate #2: {s1}
qstr_{s3}_of_the_{s4}_wis|{s3} of the {s4} wishes to select a new marshal and invites his vassals for a counsel. {s1} and {s2} are the likely candidates.
qstr_Whom_do_you_wish_to_|Whom do you wish to support?
qstr_{s1}_gives_his_suppo|{s1} gives his support to {s2}.
qstr_Number_of_Supporters|Number of Supporters: {reg0}
qstr_{s2}_has_heard_his_v|{s2} has heard his vassals' counsel. He selects {s1} as the marshal of the {s3}.
qstr_Orders|Orders
qstr_Mount|Mount
qstr_Attack_Order|Attack Order
qstr_Stand_Ground|Stand Ground
qstr_Charge|Charge
qstr_Follow_Me|Follow Me
qstr_Hold_This_Position|Hold This Position
qstr_Spread_Out|Spread Out
qstr_Stand_Closer|Stand Closer
qstr_Fall_Back|Fall Back
qstr_Advance|Advance
qstr_Dismount|Dismount
qstr_Fire_At_Will|Fire At Will
qstr_Hold_Your_Fire|Hold Your Fire
qstr_Use_Blunt_Weapons|Use Blunt Weapons
qstr_Use_Any_Weapon|Use Any Weapon
qstr_Ready|Ready
qstr_Wounded|Wounded
qstr_Dead|Dead
qstr_Number_of_men_knocke|Number of men knocked down: {reg1}
qstr_Number_of_men_left:_|Number of men left: {reg1}
qstr_Opponents_Beaten:_{r|Opponents Beaten: {reg1}
qstr_Opponents_Remaining:|Opponents Remaining: {reg1}
qstr_Remain_in_retirement|Remain in retirement.
qstr_Go_back_to_adventuri|Go back to adventuring.
qstr_You_have_retired_at_|You have retired at level {reg4} after {reg5} days of adventuring.
qstr_Effect_on_Score|Effect on Score
qstr_Settlements_owned_by|Settlements owned by you: {reg0}
qstr_Friendly_Settlements|Friendly Settlements: {reg0}
qstr_Hostile_Settlements:|Hostile Settlements: {reg0}
qstr_Friendly_Lords:_{reg|Friendly Lords: {reg0}
qstr_Enemy_Lords:_{reg0}|Enemy Lords: {reg0}
qstr_Victories:_{reg0}|Victories: {reg0}
qstr_Defeats:_{reg0}|Defeats: {reg0}
qstr_Quests_Completed:_{r|Quests Completed: {reg0}
qstr_Companions_Found:_{r|Companions Found: {reg0}
qstr_Companions_Lost/Depa|Companions Lost/Departed: {reg0}
qstr_Wealth:_{reg0}_penin|Wealth: {reg0} penings
qstr_Inventory:_{reg0}_pe|Inventory: {reg0} penings
qstr_Renown:_{reg0}|Renown: {reg0}
qstr_Experience:_{reg0}|Experience: {reg0}
qstr_Days_Passed:_{reg0}|Days Passed: {reg0}
qstr_Difficulty:_{reg0}%|Difficulty: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|TOTAL SCORE: {reg0}
qstr_Kingdom_Advisor:|Kingdom Advisor:
qstr_Kingdom_Tributes:|Kingdom Tributes:
qstr_Your_troops_are_unpa|Your troops are unpaid! Morale has dropped.
qstr_F4___Additional_form|F4 - Additional formation types
qstr_F7___Memorize_div._p|F7 - Memorize div. placement
qstr_F8___Default_divisio|F8 - Default division placement
qstr_F4___Ranks|F4 - Ranks
qstr_F5___Shieldwall|F5 - Shieldwall
qstr_F6___Wedge|F6 - Wedge
qstr_F7___Square|F7 - Square
qstr_F8___No_Formation|F8 - No Formation
qstr_Extended_Formations_|Extended Formations and AI Options
qstr_Disable_mod_formatio|Disable mod formations: 
qstr_Put_player_in_divisi|Put player in division: 
qstr_{s1}|{s1}
qstr_Formations_rotate_to|Formations rotate to face enemy center: 
qstr_Prevent_AI_from_taki|Prevent AI from taking defensive: 
qstr_Anno_Domini_867|Anno Domini 867
qstr_We_are_in_the_ninth_|We are in the ninth century.^Long gone are the lights of Rome,^absorbed by the tide of time,^yet several centuries remain until the^golden age of knights and princesses^to come.^^It is a brutal, dark and ruthless^era of raw strength and survival,^where men go to bed every night^praying to see a new day.
qstr_It_is_the_age_of_the|It is the age of the Viking,^the clans of Ireland, the ascension^of Wessex and the emergence of the^kingdom of Alba.^^                 It awaits you...
qstr_Choose_Campaign_Type|Choose Campaign Type.
qstr_Choose_Difficulty_Op|Choose Difficulty Options.
qstr_You_can_change_these|You can change these options during the game at your camp.
qstr_SANDBOX_CAMPAIGN|SANDBOX CAMPAIGN
qstr_STORYLINE_CAMPAIGN|STORYLINE CAMPAIGN
qstr_Impossible|Impossible
qstr_Full_Realism|Full Realism
qstr_Normal|Normal
qstr_Beginner|Beginner
qstr_Custom|Custom
qstr_Stamina:|Stamina:
qstr_Armor_Penalty:|Armor Penalty:
qstr_Recruitment_Easy:|Recruitment Easy:
