ip_morale|Боевой дух
ip_morale_text|Боевой дух представляет собой способность и желание войска собираться с силами, сохранять дисциплину и проявлять храбрость, всё это им необходимо в битве и походах. Это не то же самое, что и уровень счастья войска. Элитные войска могут жаловаться и ныть на лишения в ходе кампании -- но, потом стоят как единая стена под градом стрел. С другой стороны, командир который даёт всё что они хотят заметит, что они потихоньку становятся мягкотелыми, и уже не такие стойкие под натиском.^^ Наибольшее воздействие боевого духа заметно на поведении отряда в битве, насколько агрессивно войска рвутся в бой, и насколько легко их обратить в бегство когда преимущество на стороне врага. Боевой дух также влияет на скорость передвижения отряда. Отряд с низким боевым духом передвигается медленнее. Наконец, из отряда с очень низким боевым духом будут дезертировать бойцы.^^ Некоторые факторы, которые вляют на боевой дух являются интуитивными. Например, харизматичный командир с репутацией победителя может вселить в своих бойцов уверенность. Лидеры, которые предоставляют достаточно продовольствия и платят вовремя, показывают, таким образом, что они беспокоятся о войске, и снижают вероятность плохого исхода.^^ Другие факторы менее интуитивны -- особенно те, которые относятся к сплоченности отряда. В малом отряде, например, бойцы будут сражаться изо всех сил против превосходящего противника, чтобы непоказывать их трусость перед товарищами. С другой стороны, большой отряд менее склонен к сплоченности, командир меньше времени может уделять им, прислушиваться к их жалобам и разрешать их ссоры. Частые битвы укрепят сплоченность отряда, большие перерывы между битвами приведут к тому, что люди в отряде заскучают и станут сварливыми.^^ Отчет с боевым духом можно увидеть нажав кнопку "отчеты". 
ip_economy|Экономика
ip_economy_text|Города и деревни в землях Севера нуждаются в широком спектре товаров. Самое главное, это пища. Зерно является основным продуктом земель Севера, но людям также необходим жир и протеины в лице мясных продуктов, рыбы и сыра. Немаловажным также является и хранение мясных продуктов, что обуславливает необходимость наличия соли. Второй приоритет после еды, это одежда: меха, ткани и бархат. Наконец, людям нужны инструменты для их деятельности, такой как кузнечество, гончарство, и тд.^^ Большинство сельско-хозяйственных продуктов производятся в деревнях, в городах же ремесленники производят материалы, вещи, оружие и тд. Также, разные материалы могут быть найдены в разных частях страны. Следовательно, ключ к процветанию лежит в торговле -- между городами и деревнями и между большими городами. ^^Когда торговые потоки, товары будут доступны, население будет здорово и энергично, и люди начнут мигрировать из окрестных регионов. Центр будет производить больше, потреблять больше, и будет способен платить большие налоги лордам. Когда торговля чахнет, люди уходят в поиске работы в другие места и экономическая активность идет на спад. Таким образом, это в интересах властителей сохранять торговые пути в безопасности от войны и бандитизма. Умный торговец, однако, может искать отдаленные города, где предложение определенных товаров слабое и где повышенный спрос вследствии этого, это позволит торговцу получить повышенную прибыль.^^Селяне обычно планируют сбыть свои товары в магазины городов, сельские магазины более тихие места, тут покупают дешево и продают дорого. Серьезные торговцы будут отовариваться в городах, и только в случае необходимости пополнять запасы в деревнях.^^Игрок, которому интересно узнать какие же факторы влияют на процветание региона может поговорить с мэром города. Остальную информацию можно почерпнуть от прохожих, которые будут владеть информацией только в области их торговых интересов.
ip_courtship|Ухаживания
ip_courtship_text|Вы можете обьединиться с одной из знатных семей Севера. Брак необязателен для получения силы и власти, но это даёт возможность улучшить отношения с лордами и установить притязание на трон.^^ Требования к браку отличаются для мужчин и женщин. Мужскому персонажу обычно приходится следовать традиционному пути ухаживаний. Ему следует заслужить репутацию в аристократическом обществе, наладить отношения с родителями невесты и затем свататься к леди по местным обычаям. Если игрок нетерпелив, он может попробовать короткий путь -- но будут последствия в отношениях с лордами.^^ Следует помнить, что другие лорды не будут сидеть сложа руки и будут конкурировать за право руки и сердца дам. Также, вкусы дам непредсказуемы, и игрок может обнаружить, что обьект его любви не отвечает взаимностью. Отношения, как и везде, не всегда бывают выгодными. Конечно, игрок может применить другие, менее достойные средства завоевания сердца дамы, но опять же, это сильно повлияет на его репутацию.^^ Чтобы начать путь ухаживаний, необходимо начать посещать турниры и праздничные банкеты. Странствующие трубадуры и поэты могут поделиться полезной информацией в плане ухаживаний, и поделиться самыми свежими сплетнями.^^ Женские персонажи также могут заключать браки -- но им следует помнить, что в данном обществе всё основано на традициях, и, как приключенцы, они выбрали очень нестандартный путь. Женским персонажам может понадобиться еще поискать лорда, который бы согласился вступить с ней в брак.^^ На светлой стороне, женскому персонажу не нужно проходить семь кругов ада в ритуалах и может получить больше пользы от брака, чем супруг. Для женского персонажа, брак может быть коротким путем к мощи --  и супруга можно будет использовать как инструмент в политических делах.
ip_politics|Политика
ip_politics_text|Королевства Севера представлены различными культурами, все разделяют единую политическую систему, которая предшествовала феодализму. На вершине иерархии германского общества был король, избранный советом дворян. Все земли королевства принадлежали королю, которые распределял их среди аристократов и воинов, которые имели большие заслуги перед королевством. Эта земля, однако, не становилась их собственностью и, в случае смерти, переходила во владение обратно королю. Дворянство управляло землями во имя короля, со всей ответственностью вершило правосудие, нанимало новобранцев и возглавляло войска на поле боя. Для этих целей, они поделили их земли на малые участки среди свободных людей, которые составляли костяк сельской экономики королевства. Эти фермеры и домовладельцы платили дань их сюзерену или были обязаны выполненять какие-либо действия, такие сооружение фортов, участвовать в сборе урожая и др.^^Такая система клиентского взаимодействия также практиковалась среди дворян, которые устанавливали иерархию подчинения и политической поддержки. Могущественные монастыри были автономными церковными учреждениями имея свои собственные земли и клиентов.^^ Отличительной особенностью кельтского общества (Гаэльского, Уэльского и Пиктского) была важность родословной и кланового подхода. Большая группа родственных людей предположительно имеющих общего предка, действуют как независимая социальная и единица.^^ Когда одно королевство северных земель обьявляет войну другому, политическое единство каждого из королевств также важно как и сила или количество бойцов. В сплоченном королевстве, дворяне будут обьединяться вместе, представляя собой большую силу сметающую своих врагов. В королевстве разбитом мелкими ссорами, лорды могут отказаться предоставить войска при созыве маршалом, или могут заняться своими собственными делами, если кампания идет неладно. Политическая сплоченность фракции также влияет на военные дела, когда кампания еще не начата. В разрозненной фракции, маловеряотно чтобы лорды объединялись вместе для патрулирования и прихода на помощь друг другу.^^ Получается, дворяне которые ведут ссоры и споры обречены на поражение, когда враг уже за углом, помните, что лояльность дворян принадлежит не какой-то конкретной фракции или культуре, а их собственным семьям и им самим. Если дворянин боится, что его фракция скоро падет, или если он пренебрегает своими обязанностями, то он обычно ищет повод для недействительности присяги на верность и переходит на другую сторону. Игрокам следует помнить, что недовольных бывших врагов можно обратить в своих союзников.
ip_character_backgrounds|Предыстория персонажа
ip_character_backgrounds_text|Игрок может выбрать различные социальные предыстории. Этот выбор влияет не только на его начальные навыки и снаряжение, но и на общее положение дел в обществе.^^В войнах и политике северных земель, как правило, доминируют мужчины-аристократы. Игрок с персонажем-дворянином будет иметь меньше сложностей в высшем кругу, чем с предысторией простолюдина. Старт игры персонажем дворянином можно назвать "простым" ходом. Начало же дворянкой или простолюдином внесет определенные сложности, и начало женским персонажем-простолюдином будет самым сложным путем в игре.^^Однако, женщины имеют определенные преимущества на старте. Женщина привлекает к себе внимание больше и ей меньше требуется прикладывать усилий для построения своей репутации. Также, женщине проще вступить в брак и подняться по социальной лестнице. Ей более выгодно вступать в брак со стратегической точки зрения, чем её супругу.^^Наконец, помните, предыстория не ограничивает возможности игрокам продвинуться в социальном плане. Дворянин или простолюдин, мужчина или женщина, в браке или нет -- любой может стать властителем всех северных земель, если он крайне смел, удачлив или изобретателен.
ip_military_campaigns|Военные кампании
