qst_fake|Fake
qst_deliver_message|Доставить сообщение {s13} {!}{s9} попросил вас доставить сообщение для {s13}. {s13} был в {s4} когда вы взяли это задание.  
qst_deliver_message_to_enemy_lord|Доставить сообщение {s13} {!}{s9} попросил вас доставить сообщение для {s13} от {s15}._{s13} был в {s4} когда вы взяли это задание.. 
qst_raise_troops|Выступить {reg1} {s14} {!}{s9} просил вас взять {reg1} {s14} и привести их к нему. 
qst_escort_lady|Эскорт {s13} до {s14} 
qst_deal_with_bandits_at_lords_village|Спасти поселение {s15} от бандитами {!}{s13} попросил вас разобраться с бандитами, которые укрылись в его деревне {s15} а затем доложить ему. 
qst_collect_taxes|Собрать налоги в {s3} {!}{s9} попросил собрать налоги в {s3}. В замен вы можете оставить себе пятую часть выручки.
qst_hunt_down_fugitive|Поймать {s4} {!}{s9} попросил вас поймать беглеца в {s4}. В настоящее время он находится в {s3}. 
qst_kill_local_merchant|Убить местного торговца в {s3} {!}{s9} попросил вас убить местного торговца в {s3}. 
qst_bring_back_runaway_serfs|Вернуть сбежавшых крестьян {!}{s9} попросил вас вернуть три группы сбежавшых крестьян обратно {s2}. Все три группы сбежали в {s3}. 
qst_follow_spy|Следуйте за шпионом на место встречи {!}{s11} просит вас, следовать за шпионом, который вышел с {s12}. Вы должны быть осторожны он не должен заметить вас во вркмя преследования, или он повернет назад. как только он встретит своего сообщьника, поймайте их и приведите к {s11}. 
qst_capture_enemy_hero|Поймать Лорда из {s13} {!}TODO: {s11} попросил вас поймать Лорда из {s13}. 
qst_lend_companion|Передать вашего компаньона {s3} для {s9} {!}{s9} попросил вас передать ему вашего компаньона {s3} на неделю. 
qst_collect_debt|Взиять долг с {s3} для {s9} {!}{s9} попросил вас взиять долг в размере {reg4} шиллингов с {s3}. 
qst_incriminate_loyal_commander|Подставить коммандующего из {s13}, {s16} 
qst_meet_spy_in_enemy_town|Встетися с шпионом{s13}
qst_capture_prisoners|Привести {reg1} {s3} заклученного {!}{s9} хочет, чтобы вы привели ему {reg1} {s3} как заключенным. 
qst_lend_surgeon|Передать вашего врача {s3} для {s1} {!}Передать самого опытного врача {s3} для {s1}. 
qst_follow_army|Следовать за {s9}
qst_report_to_army|Сообщить {s13}, Маршалу
qst_deliver_cattle_to_army|Доставить {reg3} Голов крупного рогатого скота в {s13}
qst_join_siege_with_army|Присоединиться к осаде {s14}
qst_screen_army|Доложить о наступлении {s13}
qst_scout_waypoints|Разведать {s13}, {s14} и {s15}
qst_rescue_lord_by_replace|Спасти {s13} от {s14} 
qst_deliver_message_to_prisoner_lord|Доставить сообщение для {s13} в {s14}
qst_duel_for_lady|Вызвать {s13} на бой 
qst_duel_courtship_rival|Вызвать {s13} на бой
qst_duel_avenge_insult|Вызвать {s13} на бой
qst_move_cattle_herd|Перегнать скот для {s13} {!} Мэр из {s10} попросил вас перегнать скот для {s13}. 
qst_escort_merchant_caravan|Сопроводит караван в {s8} {!}Сопроводит караван в {s8}. 
qst_deliver_wine|Доставить {reg5} едениц из {s6} для {s4} {!}{s9} для {s3} попросил вас доставить {reg5} едениц из {s6} в таверну {s4} в течении 7 дней. 
qst_troublesome_bandits|Поймать бандитов {!}{s9} для {s4} попросил вас поймать бандитов вблизи от города. 
qst_kidnapped_girl|Выкупить девушку у бандитов {!} Мэр из {s4} дал вам {reg12} шиллингов для оплаты выкупа. Выдолжны встретиться с ними возле {s3} и заплатить им выкуп. После привести девушку обратно для{s4}. 
qst_persuade_lords_to_make_peace|Зделайте так что-бы два Лорда не подписали мирный договор {!} Мэр из {s4} пообещал вам {reg12} шиллингов если вы достигните цели {s12} и {s13} не дав подписать мирный договор {s15} и {s14}. Также убедитесь что бы эти двоя были взяты в плен. 
qst_deal_with_looters|Сделка с мародерами {!} Мэр из {s4} попросил вас о сделки с марадерами {s4}, и вернуться с золотом которое вы получите. 
