qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_Your_Refuge|Убежище
qstr_Wait_Here|Подождать здесь
qstr_Troop_Tree|Древо отрядов
qstr_Leave_troops|Оставить войска
qstr_Read_Book|Прочесть Книгу
qstr_Retire|Уйти в отставку
qstr_Recruit_Prisoners|Завербовать Заложников
qstr_Game_Options|Опции игры
qstr_Followers__Camp|Убежище Союзников
qstr_Visit_Camp|Проверить лагерь
qstr_{s16}^^_____________|{s16}^^-------------------^^Информация о Лагере:^^^{s6}^^{s7}^^Ландшафт: {s2}^^Разведчики: {s5}^^Фуражиры: {s3}^^Укрепления Лагеря {s4}^^{s11}
qstr_Camp_Info:^^^^Positi|Информация о Лагере:^^^^Расположение: {s2}^^Вы тренеруетесь в мореходстве.
qstr_Plain.|Обычная.
qstr_Snow.|Снег.
qstr_Forest.|Лес.
qstr_Snow_Forest.|Снежный лес.
qstr_Ocean.|Океан.
qstr_Sea.|Море.
qstr_Standard_Bearer:_{re|Знаменосец: {reg1}^Бонус к лидерству : {reg2} (макс 3)
qstr_Musician:_{reg1}^Tac|Музыкант: {reg1}^Бонус тактики боя: {reg2} (макс 3)
qstr_You_stop_to_rest.^He|Вы останавливаетесь, чтобы отдохнуть. ^ Здесь вы можете управлять ресурсами вашей компании.
qstr_Yes.|Да.
qstr_No.|Нет.
qstr_Recruitment_Easy:|Набор войск:
qstr_RECRUITMENT_EASY_>_B|Легкий набор войск> Для новичков.
qstr_When_you_ask_permiss|При запросе найма войск в деревнях, ответ всегда положительный и без стоимости. Не рекомендуется для игроков, которые любят РПГ и горесть поражения.
qstr_You_can_t_sleep._You|Вы не можете уснуть. Вы слышите хруст корпуса коробля, запах соленого моря и чувствуете какь ветер ласкает ваше лицо, но ваши глаза закрыты, и отказываются открываться. И сквозь сон вы продолжаете думать, вспоминая другие времена, прошлую жизнь, чуствуя себя далеко от дома хотя в пути вы всего несколько месяцев.^^Теперь, будущее не ясно. Ваше путешествие привело вас к Фризскому морю в надежде найти старого волшебника, который может вылечить любую болезнь, так как ваша мать больна. Ради нее вы оставили все позади, мир, который вы знали, как свои пять пальцев, и заплатил за проезд до северо на торговом судне Одинокий Рик. Корабль очень медленный и растрепанный, но капитан пообещал вам показать где живет колдун.^^Ваша матушка путешествует с вами; никто еще не присоединились к вам. Ее болезнь прогрессирует, и она начинает забывать вас, но были времена когда все было по другому. Каждое утро вы просыпаетесь, не зная, когда настанет тот день: когда вы не сможете общаться с ней, или должны будете привязать ее к столбу, чтобы она не упала за борт?^^Вы должны проснуться, но ваши глаза сопротивляются и ваш разум лихорадочно кипит...^^Еще немного и. Ваши веки открылись...
qstr_Wait_here_for_some_t|Подождать здесь.
qstr_Camping_allows_your_|Отдых на природе позволит вашим людям востоновить силы, от тяжелых путешествий. Также позволяет добывать продовольствия. Это особенно полезно, на вражеской территории, где трудно купить продукты.
qstr_You_cannot_read._You|Вы не умеете читать. Можно этому научиться в Монастыре.
qstr_No_one_is_interested|Никто не заинтересован в данный момент.
qstr_Build_your_personal_|Построить убежище.
qstr_You_can_not_build_yo|Вы не можете построить убежище так близко к городу.
qstr_You_can_change_diffi|Вы можете изменить параметры игры.
qstr_Resting_Morale_impac|Мораль:
qstr_Extended_Formations_|Построение и параметры AI
qstr_Disable_mod_formatio|Отключить Мод Построения: 
qstr_Put_player_in_divisi|Игрок в Постраении:
qstr_Formations_rotate_to|Построение на против вражеских войск:
qstr_Prevent_AI_from_taki|Отключит AI отсиживание в обороне:
qstr_Kingdom_Report|Королевство
qstr_Name:_^{playername} Name:_^{playername}
qstr_Name_^{playername} Name_^{playername}
qstr_Level:|Уровень:
qstr_Health:|Здоровье:
qstr_Renown:|Известность:
qstr_Reputation:|Репутация:
qstr_Ruthless|Безжалостный
qstr_Vile|Подлый
qstr_Notorious|Известный
qstr_Unkind|Злой
qstr_Heroic|Героический
qstr_Admirable|Превосходный
qstr_Kind|Род
qstr_{!}{s3} {!}{s3}
qstr_Current_Silver:|Серебро:
qstr_Scandinavian_Gods|Скандинавские Боги
qstr_Christianity|Христионство
qstr_{!}{s4} {!}{s4}
qstr_Can_read:|Умеет читать:
qstr_{!}{s6} {!}{s6}
qstr_Reading:|Чтение:
qstr_No_books.|Нет книг.
qstr_{!}{s7} {!}{s7}
qstr_Traits:|Черты:
qstr_{!}{s9} {!}{s9}
qstr_Scars:|Шрамы:
qstr_{reg1} {reg1}
qstr_{!}{s10} {!}{s10}
qstr_Wounds:|Раны:
qstr_{!}{s11} {!}{s11}
qstr_Enemies_Killed:|Убито врагов:
qstr_Enemies_Wounded:|Раненых врагов:
qstr_Friendly_Killed:|Убито друзей:
qstr_Friendly_Wounded:|Раненых друзей:
qstr_Story|История
qstr_Attributes/Skills|Навыки
qstr_Wounds|Раны
qstr_Quest|Задания
qstr_Party_Info|Инфо о Игре
qstr_Relations_Info|Инфо Отношений
qstr_Weekly_Budget|Недельный бюджет
qstr_Statistics|Статистика
qstr_Companions__Missions|Задания Компаньонов
qstr_Faction_Relations|Отношение Фракций
qstr_Known_Lords|Знакомых Лордов
qstr_Courtship_Relations|Брачные отношения
