42
skl_trade|Торговля
skl_trade_desc|За каждый уровень навыка цена товара снижается на 5%%. (Групповой навык)
skl_navigation|Мореходство
skl_navigation_desc|Скорость на море увеличивается на 3%% на каждом уровень. (Групповой навык)
skl_maintenance|Починка оборудования
skl_maintenance_desc|Базовые знание для содержание вашего оборудования, будет уверенны, теперь оно не сломается бою. Повышает на 7% стойкость к поломкам.
skl_sea_king|Викинг
skl_sea_king_desc|Увеличивает количество кораблей, которыми вы можете командовать. (Групповой навык)
skl_leadership|Лидерство
skl_leadership_desc|Максимальное количество войск за каждый уровень навыка увеличивается на 1, а содержание уменьшается на 5%% (Навык лидера)
skl_prisoner_management|Содержание пленных
skl_prisoner_management_desc|Максимальное количество пленных за каждый уровень навыка увеличивается на 10, а шанс побега Лорда снижается на 2%%. Еженедельный шанс Лорда на побег: 30%% при содержании в отряде, 15%% при содержании в замке или городе, 5%% при содержании в темнице замка или города. (Навык лидера)
skl_entertain|Увеселение
skl_entertain_desc|Герой, обладающий этим навыком, повышает мораль отряда за каждый день отдыха. Давать представления и попрошайничать становится легче. Вложите в навык 10 очков и станьте великим бардом! (Личный навык).
skl_reserved_2|Зарезервированный навык 2
skl_reserved_2_desc|Это зарезервированный навык.
skl_reserved_3|Зарезервированный навык 3
skl_reserved_3_desc|Это зарезервированный навык.
skl_reserved_4|Зарезервированный навык 4
skl_reserved_4_desc|Это зарезервированный навык.
skl_persuasion|Убеждение
skl_persuasion_desc|Благодаря этому навыку люди легче соглашаются с вами. При осаде крепости повышается шанс договориться с гарнизоном о сдаче. За каждый уровень навыка число рекрутов в деревнях увеличивается на 1, а стоимость найма снижается на 1 шиллинг. Жители деревень отдают на 3%% больше припасов. (Личный навык)
skl_engineer|Инженерия
skl_engineer_desc|Этот навык позволяет вам быстрее конструировать осадные орудия и обустраивать владения.(Групповой навык)
skl_first_aid|Первая помощь
skl_first_aid_desc|За каждый уровень навыка герои восстанавливают по 5%% здоровья, потерянного в последнем сражении.(Групповой навык)
skl_surgery|Хирургия
skl_surgery_desc|Каждый уровень навыка на 4%% повышает шанс солдат избежать смертельного ранения. (Групповой навык)
skl_wound_treatment|Лечение ран
skl_wound_treatment_desc|Скорость исцеления отряда возрастает на 20%% за уровень навыка. (Групповой навык)
skl_inventory_management|Упаковка
skl_inventory_management_desc|Увеличивает вместимость инвентаря на 6 за уровень навыка.(Навык лидера)
skl_spotting|Наблюдательность
skl_spotting_desc|Радиус обзора отряда увеличивается на 10%% за уровень навыка. (Групповой навык)
skl_pathfinding|Поиск пути
skl_pathfinding_desc|Скорость передвижения отряда на карте увеличивается на 3%% за уровень навыка. (Групповой навык)
skl_tactics|Тактика
skl_tactics_desc|За каждые два уровня навыка начальное боевое преимущество увеличивается на 1. (Групповой навык)
skl_tracking|Следопыт
skl_tracking_desc|Чтение следов дает больше информации. (Групповой навык)
skl_trainer|Наставник
skl_trainer_desc|Герой, обладающий этим навыком, ежедневно занимается обучением менее опытных солдат. Полученный опыт распределяется так: {0,4,10,16,23,30,38,46,55,65,80}. (Личный навык)
skl_reserved_5|Зарезервированный навык 5
skl_reserved_5_desc|Это зарезервированный навык.
skl_reserved_6|Зарезервированный навык 6
skl_reserved_6_desc|Это зарезервированный навык.
skl_reserved_7|Зарезервированный навык 7
skl_reserved_7_desc|Это зарезервированный навык.
skl_looting|Мародерство
skl_looting_desc|С каждым уровнем навыка количество добычи увеличивается на 10%%. (Групповой навык)
skl_foraging|Фуражировка
skl_foraging_desc|Количество еды увеличивается на 5 за уровень навыка (при осаде, набеге, в лагере), расширяется область поиска фуража. Максимальный уровень 10. (Групповой навык)
skl_horse_archery|Стрельба верхом
skl_horse_archery_desc|Навык снижает штрафы на точность и урон при стрельбе на скаку. Максимальный уровень 5. (Личный навык)
skl_riding|Верховая езда
skl_riding_desc|Навык позволяет ездить на более породистых лошадях, а также повышает скорость и маневренность.(Личный навык)
skl_athletics|Атлетика
skl_athletics_desc|Повышает скорость бега. Тяжелая броня замедляет передвижение. Максимальный уровень 6. (Личный навык)
skl_shield|Владение щитом
skl_shield_desc|Снижается получаемый щитом урон на 8%% за уровень навыка, повышается ловкость в обращении со щитом. Максимальный уровень 3. (Личный навык)
skl_weapon_master|Владение оружием
skl_weapon_master_desc|Облегчает обучение и повышает предел владения оружием. Пределы бывают следующие: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Личный навык)
skl_reserved_9|Зарезервированный навык 9
skl_reserved_9_desc|Это зарезервированный навык.
skl_reserved_10|Зарезервированный навык 10
skl_reserved_10_desc|Это зарезервированный навык.
skl_reserved_11|Зарезервированный навык 11
skl_reserved_11_desc|Это зарезервированный навык.
skl_reserved_12|Зарезервированный навык 12
skl_reserved_12_desc|Это зарезервированный навык.
skl_reserved_13|Зарезервированный навык 13
skl_reserved_13_desc|Это зарезервированный навык.
skl_power_draw|Мощный выстрел
skl_power_draw_desc|Персонаж может использовать более мощные луки. С каждым уровнем навыка (максимум 4 плюс параметр мощного выстрела у самого лука) урон лука возрастает на 14%%. Максимальный уровень 5. (Личный навык)
skl_power_throw|Мощный бросок
skl_power_throw_desc|С каждым уровнем навыка урон от метательного оружия возрастает на 10%%. Максимальный уровень 5. (Личный навык)
skl_power_strike|Мощный удар
skl_power_strike_desc|С каждым уровнем навыка урон в ближнем бою возрастает на 8%%. Максимальный уровень 5. (Личный навык)
skl_ironflesh|Железная кожа
skl_ironflesh_desc|С каждым уровнем навыка здоровье персонажа возрастает на 2. (Личный навык)
skl_reserved_14|Зарезервированный навык 14
skl_reserved_14_desc|Это зарезервированный навык.
skl_reserved_15|Зарезервированный навык 15
skl_reserved_15_desc|Это зарезервированный навык.
skl_reserved_16|Зарезервированный навык 16
skl_reserved_16_desc|Это зарезервированный навык.
skl_reserved_17|Зарезервированный навык 17
skl_reserved_17_desc|Это зарезервированный навык.
skl_reserved_18|Зарезервированный навык 18
skl_reserved_18_desc|Это зарезервированный навык.
