
hint_1|Вы можете приказать своим войскам переместиться нажав и удерживая клавишу F1.
hint_2|В дождь люди и лошади передвигаются медленнее.
hint_3|Вы можете ждать на глобальной карте, удерживая пробел.
hint_4|Вы можете пополнять войско в тавернах.
hint_5|Вы можете командовать отрядом во время боя.
hint_6|Боевой дух повышает скорость передвижения по карте.
hint_7|Раненые быстрее выздоравливают на отдыхе в городе, замке или лагере.
hint_8|Для быстрой торговли удерживайте клавишу Ctrl при клике на предмет.
hint_9|Вы можете нажать Backspace во время боя для перехода в командный интерфейс.
hint_10|Вы платите солдатам половину жалованья, пока находитесь в городе или замке. Стоимость содержания войск, оставленных для защиты замка, также уменьшается вдвое.
hint_11|Клавиша TAB позволяет выйти из любой игровой зоны.
hint_12|Клавишей Shift вы можете приблизить изображение для удобства прицеливания.
